"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse","i_msa","ers_msa"
"Sao Jose do Povo",4063,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",1e+100,"sao jose do povo","rondonopolis"
"Sao Jose do Xingu",5595,0,8,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1e+100,"sao jose do xingu","porto alegre do norte"
"Sao Jose dos Quatro Marcos",18906,0,25,NA,0.058,0.2,0.01,0.005,0.6,0.047121185,1.71852428,16.3980957,3.6,"Caceres",0.071428571,"sao jose dos quatro marcos","caceres"
"Sao Pedro da Cipa",4727,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.010689864,8.317893074,10.7961697,3.6,"Rondonopolis",1.5,"sao pedro da cipa","rondonopolis"
"Sapezal",25881,0,53,NA,0.058,0.2,0.01,0.005,0.6,0.0366,7.683,8.088,3.6,"Tangara da Serra",1e+100,"sapezal","tangara da serra"
"Sinop",139000,42,266,NA,0.058,0.2,0.01,0.005,0.6,0.010083197,8.31766505,0.918223745,3.6,"Sinop",8.5,"sinop","sinop"
"Sorriso",90313,26,160,NA,0.058,0.2,0.01,0.005,0.6,0.02418042,3.239810757,17.24934459,3.6,"Sinop",56.92857143,"sorriso","sinop"
"Tangara da Serra",103750,47,200,NA,0.058,0.2,0.01,0.005,0.6,0.051591803,1.597906366,0.83135002,3.6,"Tangara da Serra",290.7142857,"tangara da serra","tangara da serra"
"Tapurah",13705,0,20,NA,0.058,0.2,0.01,0.005,0.6,0.010377512,6.498560453,20.49619836,3.6,"Sinop",3.571428571,"tapurah","sinop"
"Terra Nova do Norte",9667,0,37,NA,0.058,0.2,0.01,0.005,0.6,0.027908568,7.806058271,7.511047218,3.6,"Peixoto de Azevedo",1e+100,"terra nova do norte","peixoto de azevedo"
"Uniao do Sul",3525,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100,"uniao do sul","sinop"
"Vale de Sao Domingos",3127,0,5,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100,"vale de sao domingos","pontes e lacerda"
"Varzea Grande",284971,78,368,NA,0.058,0.2,0.01,0.005,0.6,0.005776417,21.65713644,28.1133255,3.6,"Baixada Cuiabana",71.14285714,"varzea grande","baixada cuiabana"
"Vera",11309,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100,"vera","sinop"
"Vila Bela da Santissima Trindade",16128,0,47,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100,"vila bela da santissima trindade","pontes e lacerda"
"Vila Rica",26037,0,21,NA,0.058,0.2,0.01,0.005,0.6,0.053746421,1.957159446,61.99407372,3.6,"Porto Alegre do Norte",1.642857143,"vila rica","porto alegre do norte"
