;municipio;cod_ibge;classificacao_epidemiologica;infectados_n;recuperados_n;obitos_n;r_025;r_500;r_975;r_mm7;n_va;p_va;ia_cat;iv_cat;risco;to_uti
119;Sao Felix do Araguaia;5107859;0.5;1,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;21,583822932682303;0,759
120;Sao Jose do Povo;5107297;0.5;1,0;5;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
121;Sao Jose do Rio Claro;5107305;0.5;1,0;0;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
122;Sao Jose do Xingu;5107354;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
123;Sao Jose Dos Quatro Marcos;5107107;0;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;15,744785758125307;0,759
124;Sao Pedro da Cipa;5107404;0;0,0;7;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
125;Sapezal;5107875;0;1,0;42;1;0,46093728898300995;0,8435855585746709;1,3958454926483201;0,971343533762023;;0,0;Muito baixo;Alto;93,3074496797714;0,759
126;Serra Nova Dourada;5107883;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
127;Sinop;5107909;1;1,0;86;12;0,8273520595226271;1,0757132867331198;1,3694328756265102;1,2421953495631;0,711976010259763;0,711976010259763;Moderado;Alto;93,3074496797714;0,759
128;Sorriso;5107925;1;1,0;130;3;1,02276609689853;1,29666733387011;1,6156041849099498;1,1196532573201399;0,0781017676672631;0,0781017676672631;Moderado;Alto;93,3074496797714;0,759
129;Tabapora;5107941;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
130;Tangara da Serra;5107958;1;1,0;177;1;1,0512226448773299;1,3420849797268202;1,68223405232575;1,04105295666156;0,0820309890898906;0,0820309890898906;Moderado;Alto;93,3074496797714;0,759
131;Tapurah;5108006;0;1,0;16;0;0,32304081821343;0,680479027633066;1,2373491838658;0,931905947537355;0,6796992481203;0,6796992481203;Baixo;Alto;45,41130885342853;0,759
132;Terra Nova do Norte;5108055;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
133;Tesouro;5108105;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
134;Torixoreu;5108204;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
135;Uniao do Sul;5108303;0.5;0,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;26,750949236775607;0,759
136;Vale de Sao Domingos;5108352;0.5;1,0;1;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
137;Varzea Grande;5108402;1;1,0;152;44;1,1235348907076599;1,30351388294141;1,50176116319253;1,13246840653044;0,183170817085932;0,183170817085932;Moderado;Alto;93,3074496797714;0,759
138;Vera;5108501;0.5;1,0;0;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
139;Vila Bela da Santissima Trindade;5105507;0;1,0;2;1;0,113466357248122;0,490430830210825;1,3250297881134698;0,7262021533837901;-0,0847937776509205;-0,0847937776509205;Muito baixo;Alto;93,3074496797714;0,759
140;Vila Rica;5108600;0;1,0;17;1;0,8034260053526341;1,43472938958641;2,3335041665112297;1,05147154336025;0,27755102040816304;0,27755102040816304;Baixo;Alto;93,3074496797714;0,759
