"cod_ibge","municipio","classificacao_epidemiologica","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
5107297,"Sao Jose do Povo","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107305,"Sao Jose do Rio Claro","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107354,"Sao Jose do Xingu","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107404,"Sao Pedro da Cipa","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107578,"Rondolandia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107602,"Rondonopolis","TRANSMISSAO COMUNITARIA","Rondonopolis","236","58","12",0.945871835778774,1.15507852472101,1.39307880007493,1.19041234802028,0.698975696009589,1.22460440381683
5107701,"Rosario Oeste","TRANSMISSAO LOCAL","Diamantino","11","33","1",-999,-999,-999,-999,-0.414069264069264,1.10093274158584
5107743,"Santa Cruz do Xingu","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107750,"Salto do Ceu","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107768,"Santa Rita do Trivelato","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107776,"Santa Terezinha","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107792,"Santo Antonio do Leste","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107800,"Santo Antonio de Leverger","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107859,"Sao Felix do Araguaia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107875,"Sapezal","TRANSMISSAO LOCAL","Tangara da Serra","26","13","0",0.54777365280733,0.921952387947463,1.43720284180764,1.3062890806754,NA,NA
5107883,"Serra Nova Dourada","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107909,"Sinop","TRANSMISSAO COMUNITARIA","Sinop","60","34","6",1.07577718804362,1.45374515181399,1.91137364300274,1.47971626664052,2.37807455702193,1.41117094392931
