"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"ia_cat";"iv_cat";"risco";"to_uti"
"Nossa Senhora de Livramento";5106109;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Bandeirantes";5106158;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Brasilandia";5106208;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Canaa do Norte";5106216;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Guarita";5108808;"CASOS ISOLADOS";"0";"4";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Lacerda";5106182;"CASOS ISOLADOS";"4";"4";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Marilandia";5108857;"CASOS ISOLADOS";"2";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Maringa";5108907;"CASOS ISOLADOS";"2";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Monte Verde";5108956;"CASOS ISOLADOS";"2";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Mutum";5106224;"TRANSMISSAO COMUNITARIA";"60";"74";"4";0,907206068411973;1,16035726664489;1,45674138381036;1,43524741095661;1,78234068747116;1,78234068747116;"Moderado";"Alto";"Alto";0,759
"Nova Nazare";5106174;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Olimpia";5106232;"CASOS ISOLADOS";"1";"5";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Santa Helena";5106190;"CASOS ISOLADOS";"2";"2";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nova Ubirata";5106240;"TRANSMISSAO LOCAL";"11";"16";"0";0,852741161073923;1,89351547483712;3,56091677427959;1,15792399855007;0,799058084772371;0,799058084772371;"Baixo";"Alto";"Alto";0,759
"Nova Xavantina";5106257;"CASOS ISOLADOS";"2";"0";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Novo Horizonte do Norte";5106273;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Novo Mundo";5106265;"TRANSMISSAO LOCAL";"3";"14";"0";0,448055195081819;1,50962305528094;3,60431879079573;1,02966070965202;;;"Baixo";"Alto";"Alto";0,759
"Novo Santo Antonio";5106315;"TRANSMISSAO LOCAL";"0";"10";"0";0,395751602101407;1,13861113027339;2,49655626990442;1,51610098368843;;;"Baixo";"Alto";"Alto";0,759
"Novo Sao Joaquim";5106281;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Paranaita";5106299;"CASOS ISOLADOS";"3";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Paranatinga";5106307;"TRANSMISSAO LOCAL";"22";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Pedra Preta";5106372;"TRANSMISSAO LOCAL";"26";"10";"1";0,50940525435885;0,909677661376667;1,47953797309231;1,12787359847927;;;"Muito baixo";"Alto";"Alto";0,759
"Peixoto de Azevedo";5106422;"TRANSMISSAO COMUNITARIA";"19";"32";"1";2,1469263223632;3,55564738303886;5,47776093916307;1,2170404222098;0,0523809523809524;0,0523809523809524;"Moderado";"Alto";"Alto";0,759
"Planalto da Serra";5106455;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Pocone";5106505;"CASOS ISOLADOS";"11";"3";"3";0,647858207443208;1,21915220823537;2,05644959805731;2,04905131647855;5,52380952380952;5,52380952380952;"Baixo";"Alto";"Alto";0,759
"Pontal do Araguaia";5106653;"TRANSMISSAO LOCAL";"4";"5";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Ponte Branca";5106703;"CASOS ISOLADOS";"0";"0";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Pontes E Lacerda";5106752;"TRANSMISSAO COMUNITARIA";"0";"0";"0";;;;;;;"Moderado";"Alto";"Alto";0,759
"Porto Alegre do Norte";5106778;"CASOS ISOLADOS";"1";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Porto Dos Gauchos";5106802;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Porto Esperidiao";5106828;"TRANSMISSAO LOCAL";"40";"1";"2";1,04732241035908;1,48152387142658;2,02189672681402;2,23456918275934;;;"Baixo";"Alto";"Alto";0,759
"Porto Estrela";5106851;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Poxoreu";5107008;"CASOS ISOLADOS";"5";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Primavera do Leste";5107040;"TRANSMISSAO COMUNITARIA";"147";"121";"4";1,08448591264804;1,34367323226784;1,64120777956582;1,10514044020496;0,0762464930194522;0,0762464930194522;"Moderado";"Alto";"Alto";0,759
"Querencia";5107065;"TRANSMISSAO LOCAL";"40";"25";"2";0,847816850743907;1,19329700421914;1,62196535816881;1,59130457601889;1,69526901669759;1,69526901669759;"Baixo";"Alto";"Alto";0,759
"Reserva do Cabacal";5107156;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Ribeirao Cascalheira";5107180;"CASOS ISOLADOS";"10";"4";"0";0,547495418603055;1,15328815765449;2,09708176547267;2,57625263166043;;;"Baixo";"Alto";"Alto";0,759
"Ribeiraozinho";5107198;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Rio Branco";5107206;"CASOS ISOLADOS";"0";"3";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Rondolandia";5107578;"CASOS ISOLADOS";"0";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Rondonopolis";5107602;"TRANSMISSAO COMUNITARIA";"421";"76";"12";1,13435173421576;1,30834285179846;1,49927898774899;1,27749982737;0,504851134200192;0,504851134200192;"Moderado";"Alto";"Alto";0,759
"Rosario Oeste";5107701;"TRANSMISSAO LOCAL";"12";"38";"2";0,563772540569428;1,25185939014841;2,35422797471585;1,19484773077943;0,401360544217687;0,401360544217687;"Baixo";"Alto";"Alto";0,759
"Salto do Ceu";5107750;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santa Carmem";5107248;"CASOS ISOLADOS";"8";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santa Cruz do Xingu";5107743;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santa Rita do Trivelato";5107768;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santa Terezinha";5107776;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santo Afonso";5107263;"CASOS ISOLADOS";"1";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santo Antonio de Leverger";5107800;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Santo Antonio do Leste";5107792;"CASOS ISOLADOS";"2";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Felix do Araguaia";5107859;"CASOS ISOLADOS";"5";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Jose do Povo";5107297;"CASOS ISOLADOS";"2";"5";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Jose do Rio Claro";5107305;"CASOS ISOLADOS";"5";"0";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Jose do Xingu";5107354;"CASOS ISOLADOS";"2";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Jose Dos Quatro Marcos";5107107;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sao Pedro da Cipa";5107404;"TRANSMISSAO LOCAL";"0";"7";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sapezal";5107875;"TRANSMISSAO LOCAL";"10";"42";"1";0,46093728898301;0,843585558574671;1,39584549264832;0,971343533762023;;;"Muito baixo";"Alto";"Alto";0,759
"Serra Nova Dourada";5107883;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Sinop";5107909;"TRANSMISSAO COMUNITARIA";"66";"86";"12";0,827352059522627;1,07571328673312;1,36943287562651;1,2421953495631;0,711976010259763;0,711976010259763;"Moderado";"Alto";"Alto";0,759
"Sorriso";5107925;"TRANSMISSAO COMUNITARIA";"80";"130";"3";1,02276609689853;1,29666733387011;1,61560418490995;1,11965325732014;0,0781017676672631;0,0781017676672631;"Moderado";"Alto";"Alto";0,759
"Tabapora";5107941;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Tangara da Serra";5107958;"TRANSMISSAO COMUNITARIA";"67";"177";"1";1,05122264487733;1,34208497972682;1,68223405232575;1,04105295666156;0,0820309890898906;0,0820309890898906;"Moderado";"Alto";"Alto";0,759
"Tapurah";5108006;"TRANSMISSAO LOCAL";"28";"16";"0";0,32304081821343;0,680479027633066;1,2373491838658;0,931905947537355;0,6796992481203;0,6796992481203;"Baixo";"Alto";"Alto";0,759
"Terra Nova do Norte";5108055;"CASOS ISOLADOS";"6";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Tesouro";5108105;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Torixoreu";5108204;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Uniao do Sul";5108303;"CASOS ISOLADOS";"0";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Vale de Sao Domingos";5108352;"CASOS ISOLADOS";"4";"1";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Varzea Grande";5108402;"TRANSMISSAO COMUNITARIA";"361";"152";"44";1,12353489070766;1,30351388294141;1,50176116319253;1,13246840653044;0,183170817085932;0,183170817085932;"Moderado";"Alto";"Alto";0,759
"Vera";5108501;"CASOS ISOLADOS";"7";"0";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Vila Bela da Santissima Trindade";5105507;"TRANSMISSAO LOCAL";"19";"2";"1";0,113466357248122;0,490430830210825;1,32502978811347;0,72620215338379;-0,0847937776509205;-0,0847937776509205;"Muito baixo";"Alto";"Alto";0,759
"Vila Rica";5108600;"TRANSMISSAO LOCAL";"23";"17";"1";0,803426005352634;1,43472938958641;2,33350416651123;1,05147154336025;0,277551020408163;0,277551020408163;"Baixo";"Alto";"Alto";0,759
