"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Confresa",5103353,"TRANSMISSAO COMUNITARIA","67","117","3",0.706408499857088,0.916420387308745,1.16444800030606,1.17059101176536,0.394817556965237,0.394817556965237,"Moderado","Alto","Alto"
"Conquista D'Oeste",5103361,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Cotriguacu",5103379,"CASOS ISOLADOS","4","3","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Cuiaba",5103403,"TRANSMISSAO COMUNITARIA","1101","319","43",1.02709038015817,1.12380157485797,1.22640148848101,1.25054987810941,0.58700530410025,0.58700530410025,"Moderado","Alto","Alto"
"Curvelandia",5103437,"CASOS ISOLADOS","1","3","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Denise",5103452,"CASOS ISOLADOS","2","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Diamantino",5103502,"CASOS ISOLADOS","3","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Dom Aquino",5103601,"CASOS ISOLADOS","4","6","0",-999,-999,-999,-999,NA,NA,"Muito baixo","Alto","Alto"
"Feliz Natal",5103700,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Figueiropolis D'Oeste",5103809,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Gaucha do Norte",5103858,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"General Carneiro",5103908,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Gloria D'Oeste",5103957,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Guaranta do Norte",5104104,"TRANSMISSAO COMUNITARIA","30","17","0",0.949124354340663,1.37318300731916,1.90805186607959,1.59916950513585,NA,NA,"Moderado","Alto","Alto"
"Guiratinga",5104203,"CASOS ISOLADOS","5","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Indiavai",5104500,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Ipiranga do Norte",5104526,"CASOS ISOLADOS","0","5","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Itanhanga",5104542,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Itauba",5104559,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Itiquira",5104609,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Jaciara",5104807,"TRANSMISSAO LOCAL","14","40","0",0.454037862236612,0.915454990704148,1.61762645895031,1.01729294187436,-0.0518925518925519,-0.0518925518925519,"Muito baixo","Alto","Alto"
"Jangada",5104906,"TRANSMISSAO LOCAL","1","8","1",0.0275481002870633,0.754207791433179,4.01383963461118,1.04045806377304,-0.642857142857143,-0.642857142857143,"Muito baixo","Alto","Alto"
"Jauru",5105002,"CASOS ISOLADOS","0","1","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Juara",5105101,"TRANSMISSAO LOCAL","4","2","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Juina",5105150,"TRANSMISSAO LOCAL","7","7","1",0.437188194526427,1.25782774262621,2.75795454112519,1.21584305534091,NA,NA,"Baixo","Alto","Alto"
"Juruena",5105176,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Juscimeira",5105200,"TRANSMISSAO LOCAL","6","6","0",0.55045321513686,1.41748789785094,2.91697518995974,1.280111276144,0.871428571428571,0.871428571428571,"Baixo","Alto","Alto"
